,basket_icon_click,basket_add_list,basket_add_detail,sort_by,image_picker,account_page_click,promo_banner_click,detail_wishlist_add,list_size_dropdown,closed_minibasket_click,checked_delivery_detail,checked_returns_detail,sign_in,saw_checkout,saw_sizecharts,saw_delivery,saw_account_upgrade,saw_homepage,device_mobile,device_computer,device_tablet,returning_user,loc_uk,MCA0,MCA1,MCA2,MCA3,MCA4,MCA5,MCA6,MCA7,Cluster
4,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.11123230166859786,0.4142286976293465,0.3572798365696451,0.4089414903151707,-0.30067762383059116,-0.12369709154968869,0.1422424479590979,0.2984207530148104,3
47,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.08651015954688647,0.5419808829247401,0.40009472126520684,-0.1323007772956985,0.16909788175250315,-0.19495888856549112,-0.10042545100585053,0.20391274004458004,0
56,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.14957646117684897,0.11793595162404179,0.12067252776357719,0.05251518452962347,-0.5076338145300144,-0.010816147174735696,-0.015902511840670458,0.10427943231038722,3
62,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0.03554617781606166,0.1907448781259882,0.2975065418939753,0.2864146946350674,0.30540148381796617,-0.17129070907313237,0.1293416951107941,0.006734168569209181,0
66,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.003596886205939207,-0.13905094190481135,-0.4992251674524527,-0.12585900619114337,-0.10932698689695367,-0.12528890870594903,-0.12111032333940618,0.2064329939181663,2
80,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,-0.14957646117684897,0.11793595162404179,0.12067252776357719,0.05251518452962347,-0.5076338145300144,-0.010816147174735696,-0.015902511840670458,0.10427943231038722,3
120,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,-0.15590410609006009,-0.23506998144169106,0.049887518366707816,-0.006065305513723375,-0.5482475071316975,0.23066583709305918,-0.04552713143170802,-0.31190039193401004,3
138,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0.16717027708662935,-0.2813911149013666,0.155478359261844,0.02410538428245483,0.05747461062695101,-0.11541275222835418,-0.10180760977080353,0.002853310956103267,1
165,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,-0.06495019225049069,0.2868589600813171,-0.34496511119576506,0.26311107348216034,0.21467934829003651,-0.09472804788030667,0.20855496762368278,-0.046453029227278765,0
169,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0.2861239883510317,0.3802354820320536,-0.3250185773705398,-0.45393465606771416,-0.16005492434902605,0.2120461889461911,-0.004709622610568286,0.37082400290611045,0
